entity_id,entity_type,timestamp,source_ip,geo_location,resource_accessed,auth_method,session_duration,command_sequence,device_fingerprint,label
EDG_001,edge_device,2026-07-10 03:27:14,85.67.233.22,"Dubai, AE",/api/v1/reports/financial,certificate,4.8,"[""SELECT * FROM users"", ""INSERT INTO audit_log""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-10 23:12:23,79.232.40.82,"Dubai, AE",/api/v1/users,certificate,8.7,"[""ssh bastion01"", ""scp report.csv user@host:/data""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-11 03:49:59,204.30.213.107,"Dubai, AE",/api/v1/users,certificate,6.5,"[""kubectl get pods"", ""kubectl logs deployment/api""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-11 11:45:02,194.171.120.254,"Dubai, AE",/api/v1/users,certificate,7.6,"[""kubectl get pods"", ""kubectl logs deployment/api""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-11 13:54:42,201.98.213.59,"Dubai, AE",/api/v1/users,certificate,3.0,"[""ls"", ""cd /home"", ""cat README""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-11 16:06:23,167.255.177.77,"Dubai, AE",/api/v1/users,certificate,6.1,"[""kubectl get pods"", ""kubectl logs deployment/api""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-11 18:30:02,8.160.46.62,"Dubai, AE",/api/v1/users,certificate,8.2,"[""ls"", ""cd /home"", ""cat README""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-12 20:45:08,182.249.202.183,"Dubai, AE",/api/v1/reports/financial,certificate,12.4,"[""ssh bastion01"", ""scp report.csv user@host:/data""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-13 02:25:58,133.81.158.0,"Dubai, AE",/api/v1/users,certificate,10.5,"[""vim config.yml"", ""grep -r 'pattern' src/"", ""awk '{print $1}'""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-13 05:53:51,183.49.244.158,"Dubai, AE",/api/v1/reports/financial,certificate,1.6,"[""docker ps -a"", ""docker logs webapp""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-13 12:23:04,200.10.101.205,"Dubai, AE",/api/v1/reports/financial,certificate,11.5,"[""aws s3 ls s3://bucket"", ""aws ec2 describe-instances""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-13 18:59:13,160.130.151.90,"Dubai, AE",/api/v1/reports/financial,certificate,13.9,"[""vim config.yml"", ""grep -r 'pattern' src/"", ""awk '{print $1}'""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-13 19:41:30,178.48.159.110,"Dubai, AE",/api/v1/reports/financial,certificate,7.2,"[""npm run build"", ""npm test -- --coverage""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-13 22:33:55,45.199.71.57,"Dubai, AE",/api/v1/users,certificate,13.1,"[""ls"", ""cd /home"", ""cat README""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-14 04:27:56,135.40.46.74,"Denver, US",/api/v1/keys/rotate,certificate,234.4,"[""docker ps -a"", ""docker logs webapp""]",Windows-11/AA:BB:CC:DD:EE:01,device_spoofing
EDG_001,edge_device,2026-07-14 06:12:53,133.10.2.206,"Dubai, AE",/api/v1/reports/financial,certificate,11.5,"[""python pipeline.py"", ""pip list --outdated""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-15 00:50:07,146.65.214.34,"Dubai, AE",/api/v1/users,certificate,6.9,"[""ls"", ""cd /home"", ""cat README""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-15 14:19:34,193.158.221.69,"Dubai, AE",/api/v1/reports/financial,certificate,6.2,"[""vim config.yml"", ""grep -r 'pattern' src/"", ""awk '{print $1}'""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-16 03:24:58,203.63.59.60,"Dubai, AE",/api/v1/users,certificate,6.7,"[""SELECT * FROM users"", ""INSERT INTO audit_log""]",iOS-17/FE:DC:BA:98:76:01,normal
EDG_001,edge_device,2026-07-17 06:03:02,216.49.247.86,"Dubai, AE",/api/v1/reports/financial,certificate,7.5,"[""python pipeline.py"", ""pip list --outdated""]",iOS-17/FE:DC:BA:98:76:01,normal
